n_samples,n_positive,n_negative,auc_roc,auc_pr,f1,precision,recall,model,train_time_sec
150,21,129,0.7142857142857143,0.5085714285714286,0.24561403508771928,0.14,1.0,TC-GNN,6.81
150,21,129,0.3388704318936877,0.10470521449233115,0.24561403508771928,0.14,1.0,GCN,1.12
150,21,129,0.5012919896640826,0.5124564590557021,0.24561403508771928,0.14,1.0,GAT,1.27
150,21,129,0.1184939091915836,0.08139502290640326,0.24561403508771928,0.14,1.0,TGN,3.13
150,21,129,0.9974160206718345,0.9842473246608585,0.47191011235955055,0.3088235294117647,1.0,DCRNN,0.79
150,21,129,1.0,1.0000000000000002,0.0,0.0,0.0,GLASS,2.02
150,21,129,1.0,1.0,1.0,1.0,1.0,XGBoost,4.93
