model,n_samples,n_positive,n_negative,auc_roc,auc_pr,f1,precision,recall,train_time_sec
TC-GNN,187,116,71,0.5387931034482759,0.6497787202655357,0.7656765676567657,0.6203208556149733,1.0,50.22
GCN,187,116,71,0.47243807673627974,0.5932140421837729,0.7656765676567657,0.6203208556149733,1.0,327.15
GAT,187,116,71,0.5046138902379795,0.6297900872011071,0.7656765676567657,0.6203208556149733,1.0,19.81
TGN,187,116,71,0.45301117047110245,0.623428292393483,0.7656765676567657,0.6203208556149733,1.0,9.2
DCRNN,187,116,71,0.6973652258377854,0.8284619152785491,0.5846153846153846,0.7215189873417721,0.49137931034482757,5.57
GLASS,187,116,71,0.1596648858669257,0.5276972631225314,0.016666666666666666,0.25,0.008620689655172414,2.79
XGBoost,187,116,71,0.8141694997571638,0.9108592100463231,0.7627118644067796,0.75,0.7758620689655172,36.35
