n_samples,n_positive,n_negative,auc_roc,auc_pr,f1,precision,recall,model,train_time_sec
60,28,32,0.96875,0.8942266500861765,0.9180327868852459,0.8484848484848485,1.0,TC-GNN-base(k=3-6),4.99
60,28,32,0.578125,0.509090909090909,0.6746987951807228,0.509090909090909,1.0,TC-GNN-opt(k=3-6),3.21
