n_samples,n_positive,n_negative,auc_roc,auc_pr,f1,precision,recall,model,train_time_sec
60,34,26,0.6001131221719456,0.6859133126934985,0.37209302325581395,0.8888888888888888,0.23529411764705882,TC-GNN-base(k=8-12),20.44
60,34,26,0.6323529411764706,0.6759720837487537,0.38095238095238093,1.0,0.23529411764705882,TC-GNN-opt(k=8-12),17.0
